symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sz300001,300001,特锐德,21.99,0.34,1.57,21.98,21.99,21.65,21.03,22.24,20.91,21455166,466531559,15:00:03,81.444,5.103,2193656.594925,2077446.881943,2.27105
sz300002,300002,神州泰岳,6.71,-0.16,-2.329,6.7,6.71,6.87,6.59,6.85,6.48,127702089,850679439,15:00:03,-8.926,3.716,1315892.721264,1093591.160706,7.8354800000000004
sz300003,300003,乐普医疗,34.85,0.55,1.603,34.85,34.86,34.3,33.65,35.04,33.56,20668357,714439267,15:00:03,35.758,7.95,6209060.429685,5280360.169835,1.3641
sz300004,300004,南风股份,5.55,0.0,0.0,5.55,5.56,5.55,5.45,5.58,5.43,2109200,11623846,15:00:03,138.75,1.361,266396.44689,232330.546335,0.50385
sz300005,300005,探路者,3.84,-0.05,-1.285,3.84,3.85,3.89,3.79,3.95,3.76,10246360,39477859,15:00:03,30.0,1.4060000000000001,339341.639424,271227.753984,1.45066
sz300006,300006,莱美药业,5.72,0.24,4.38,5.72,5.73,5.48,5.42,5.75,5.35,37172749,208555080,15:00:03,-29.932,2.983,464601.96926,384012.004948,5.53702
sz300007,300007,汉威科技,13.46,-0.08,-0.591,13.45,13.46,13.54,13.25,13.54,13.25,7069000,94717733,15:00:03,-38.457,2.875,394408.696876,324939.390402,2.9282
sz300008,300008,天海防务,3.11,-0.07,-2.201,3.11,3.12,3.18,3.06,3.13,3.02,32875850,101430973,15:00:03,-8.333,7.073,298565.033535,231081.519223,4.42458
sz300009,300009,安科生物,14.43,0.22,1.548,14.43,14.44,14.21,13.8,14.58,13.76,39004421,560036823,15:00:03,120.25,5.596,1970254.833495,1371792.62532,4.10291
sz300010,300010,立思辰,15.88,-0.3,-1.854,15.87,15.88,16.18,15.81,16.24,15.78,13968781,222794971,15:00:03,451.136,4.293,1378899.539436,1155192.985176,1.9202400000000002
sz300011,300011,鼎汉技术,5.69,-0.04,-0.698,5.69,5.7,5.73,5.7,5.73,5.63,2285153,12960903,15:00:03,74.476,1.646,317872.070203,267831.978016,0.48547
sz300012,300012,华测检测,18.36,0.64,3.612,18.35,18.36,17.72,17.23,18.45,17.21,22963880,416791879,15:00:03,63.883,9.555,3054003.710904,2770595.651736,1.52176
sz300013,300013,新宁物流,6.22,0.26,4.362,6.21,6.22,5.96,5.86,6.56,5.82,17720900,112361363,15:00:03,-4.785,3.46,277839.38553,254418.029022,4.3324
sz300014,300014,亿纬锂能,41.81,-0.44,-1.041,41.8,41.81,42.25,41.42,43.34,41.41,50630759,2155989263,15:00:03,25.494,5.191,7694817.782105,7429708.804494,2.8492
sz300015,300015,爱尔眼科,41.96,0.54,1.304,41.96,42.21,41.42,40.92,42.6,40.87,22597197,950465145,15:00:03,93.912,19.46,16897940.68062,13920985.40588,0.6811100000000001
sz300016,300016,北陆药业,10.62,0.27,2.609,10.62,10.63,10.35,10.22,10.78,10.17,26476638,278228067,15:00:03,15.171,3.552,525216.853512,430395.377454,6.53311
sz300017,300017,网宿科技,8.8,0.69,8.508,8.8,8.81,8.11,7.94,8.92,7.93,231914605,1989090180,15:00:03,880.0,2.468,2141933.73152,1942386.9036,10.50691
sz300018,300018,中元股份,5.6,-0.09,-1.582,5.6,5.61,5.69,5.55,5.64,5.55,8327490,46663550,15:00:03,56.0,2.597,270209.82016,219262.73992,2.12685
sz300019,300019,硅宝科技,9.66,-0.26,-2.621,9.65,9.66,9.92,9.8,9.8,9.61,2731729,26477825,15:00:03,24.296,3.542,319651.284666,263186.180292,1.00266
sz300020,300020,银江股份,10.22,-0.22,-2.107,10.22,10.23,10.44,10.19,10.38,10.12,21639527,221395260,15:00:03,44.435,2.004,670216.445892,627557.875644,3.52407
sz300021,300021,大禹节水,4.51,-0.08,-1.743,4.5,4.51,4.59,4.49,4.56,4.46,14854898,67040858,15:00:03,28.188,2.438,359609.669837,292440.581059,2.2909100000000002
sz300022,300022,吉峰科技,4.08,0.03,0.741,4.08,4.09,4.05,3.98,4.11,3.95,15906434,64521962,15:00:03,-10.857,21.818,155138.07504,140861.157072,4.6072500000000005
sz300023,300023,宝德股份,10.94,0.39,3.697,10.94,10.95,10.55,10.25,11.38,10.25,9739523,105942306,15:00:03,-8.894,7.133,345820.81185,157983.275336,6.74441
sz300024,300024,机器人,13.31,0.13,0.986,13.3,13.31,13.18,12.98,13.31,12.87,21391212,280548023,15:00:03,70.911,3.183,2076678.930227,2013265.697927,1.4142000000000001
sz300025,300025,华星创业,4.58,-0.03,-0.651,4.57,4.58,4.61,4.53,4.63,4.49,6286713,28654193,15:00:03,-9.182,4.398,196266.997396,182808.195656,1.57505
sz300026,300026,红日药业,5.21,0.01,0.192,5.2,5.21,5.2,5.07,5.32,5.01,76664582,399877832,15:00:03,37.214,2.268,1565972.220077,1386470.400995,2.88086
sz300027,300027,华谊兄弟,4.03,-0.07,-1.707,4.02,4.03,4.1,3.98,4.04,3.94,44058769,175834352,15:00:03,-2.838,2.607,1123547.847357,891130.087939,1.99249
sz300028,300028,金亚科技,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0,0,15:00:03,-6.754,2.425,26486.46,26486.46,0.0
sz300029,300029,天龙光电,5.64,-0.06,-1.053,5.64,5.65,5.7,5.63,5.66,5.52,3416665,19120800,15:00:03,-14.94,27.824,112800.0,112800.0,1.7083300000000001
sz300030,300030,阳普医疗,8.91,0.44,5.195,8.91,8.92,8.47,8.3,8.93,8.23,17700624,155213586,15:00:03,111.375,3.248,275137.071165,226662.446043,6.9580400000000004
sz300031,300031,宝通科技,23.59,1.25,5.595,23.58,23.59,22.34,21.7,23.85,21.65,23715039,540682745,15:00:03,29.782,3.371,935975.443074,764491.056672,7.31778
sz300032,300032,金龙机电,3.81,-0.01,-0.262,3.8,3.81,3.82,3.76,3.83,3.75,6230422,23614759,15:00:03,63.5,2.107,306007.620648,306007.620648,0.77573
sz300033,300033,同花顺,119.84,0.96,0.808,119.84,119.85,118.88,116.0,121.0,115.6,11682175,1389573132,15:00:03,71.76,17.561,6442598.4,3222349.214112,4.34463
sz300034,300034,钢研高纳,18.0,-0.03,-0.166,18.0,18.07,18.03,17.81,18.65,17.78,12237694,223864662,15:00:03,52.129,4.048,846104.0688,759318.1794,2.901
sz300035,300035,中科电气,8.78,-0.21,-2.336,8.78,8.79,8.99,8.68,8.94,8.58,16804302,148021963,15:00:03,30.699,2.86,563653.544272,376401.121616,3.9198
sz300036,300036,超图软件,23.99,0.19,0.798,23.99,24.0,23.8,23.29,24.06,23.14,7839569,185780751,15:00:03,48.959,5.729,1078440.143433,902090.457098,2.08484
sz300037,300037,新宙邦,44.06,-0.6,-1.343,44.06,44.18,44.66,43.77,44.69,43.01,7908693,346507178,15:00:03,51.233,4.947,1809953.574678,1131196.122768,3.08043
sz300038,300038,数知科技,8.39,0.18,2.192,8.38,8.39,8.21,8.0,8.48,7.95,31366571,258082959,15:00:03,17.07,0.891,983162.956197,974065.796657,2.70172
sz300039,300039,上海凯宝,5.14,0.03,0.587,5.13,5.14,5.11,5.03,5.15,5.0,8313458,42490006,15:00:03,21.697,2.05,537644.0,470955.181024,0.9073300000000001
sz300040,300040,九洲电气,6.75,-0.09,-1.316,6.75,6.76,6.84,6.66,6.77,6.61,13722969,91861070,15:00:03,45.0,1.182,231561.102375,167693.9679,5.52376
sz300041,300041,回天新材,14.88,0.33,2.268,14.87,14.88,14.55,14.24,14.97,14.22,8757530,128960340,15:00:03,38.871,3.659,633460.069056,479856.300624,2.71565
sz300042,300042,朗科科技,16.76,0.06,0.359,16.76,16.77,16.7,16.3,16.89,16.28,4656965,77516452,15:00:03,46.75,3.292,335870.4,281264.608804,2.77499
sz300043,300043,星辉娱乐,4.75,0.43,9.954,4.75,0.0,4.32,4.33,4.75,4.22,185789085,846322184,15:00:03,22.619,2.001,590994.240475,437233.51095,20.18368
sz300044,300044,赛为智能,6.8,-0.26,-3.683,6.79,6.8,7.06,6.78,6.94,6.69,39411118,267525613,15:00:03,-11.296,3.087,533405.07504,371478.31044,7.2143
sz300045,300045,华力创通,14.14,-0.05,-0.352,14.13,14.14,14.19,13.9,14.28,13.75,48718630,683597683,15:00:03,-58.966,4.977,870899.691018,606255.991166,11.36288
sz300046,300046,台基股份,20.17,-0.27,-1.321,20.17,20.18,20.44,19.69,20.28,19.55,12477681,249541653,15:00:03,-19.537,7.045,429863.04,429863.04,5.85477
sz300047,300047,天源迪科,7.06,-0.03,-0.423,7.05,7.06,7.09,6.96,7.08,6.92,7828908,54983439,15:00:03,39.222,1.427,450247.738432,365005.001206,1.51428
sz300048,300048,合康新能,3.88,-0.01,-0.257,3.87,3.88,3.89,3.86,3.91,3.79,23939940,92002274,15:00:03,194.0,1.929,432300.814516,422739.747616,2.19726
sz300049,300049,福瑞股份,9.41,0.48,5.375,9.4,9.41,8.93,8.8,9.48,8.6,13796241,126778758,15:00:03,55.353,1.859,247532.9671,214867.690635,6.04198
